cameo_code,cameo_txt
151,increase police alert status
152,increase military alert status
153,mobilize or increase police power
154,mobilize or increase armed forces
16,reduce relations
160,reduce relations
161,reduce or break diplomatic relations
162,reduce or stop aid
1621,reduce or stop economic assistance
1622,reduce or stop military assistance
1623,reduce or stop humanitarian assistance
163,halt negotiations
164,expel or withdraw
1641,expel or withdraw peacekeepers
1642,"expel or withdraw inspectors, observers"
1643,expel or withdraw aid agencies
165,halt mediation
166,"impose embargo, boycott, or sanctions"
17,coerce
170,coerce
171,seize or damage property
1711,confiscate property
1712,destroy property
172,impose administrative sanctions
1721,impose restrictions on freedoms of speech and expression
1722,ban political parties or politicians
1723,impose curfew
1724,impose state of emergency or martial law
173,"arrest, detain, or charge with legal action"
174,expel or deport individuals
175,use violent repression
175,use tactics of violent repression 
18,assault
180,use unconventional violence
181,"abduct, hijack, or take hostage"
182,physically assault
1821,sexually assault
1822,torture
1823,kill by physical assault
183,"conduct suicide, car, or other non-military bombing"
1831,carry out suicide bombing
1832,carry out car bombing
1833,carry out roadside bombing
184,use as human shield
185,attempt to assassinate
186,assassinate
19,fight
190,use conventional military force
191,"impose blockade, restrict movement"
192,occupy territory
193,fight with small arms and light weapons
194,fight with artillery and tanks
195,employ aerial weapons
196,violate ceasefire
20,engage in unconventional mass  violence
200,engage in unconventional mass violence
201,engage in mass expulsion
202,engage in mass killings
203,engage in ethnic cleansing
204,use weapons of mass destruction
2041,"use chemical, biological, or radiological weapons"
2042,detonate nuclear weapons
